General,Payoff,.1-.1,.1-.9,.9-.1,.9-.9,.95-.1,.97-.1,.99-.1,.95-.9,.97-.9,.99-.9,Difficulty,Golds,Highest,Epochs
E-Greedy,Q-Learning,0.084,0.112,0.048,0.032,,,,,,,Hard,1,0.112,25000
E-Greedy,Q-Learning Coop,0.092,0.128,0.124,0.132,,,,,,,Hard,1,0.132,25000
E-Greedy,SARSA,0.136,0.08,0.108,0.048,,,,,,,Hard,1,0.136,25000
E-Greedy,SARSA Coop,0.196,0.192,0.244,0.164,,,,,,,Hard,1,0.244,25000
Soft-Max,Q-Learning,0.316,0.196,0.3,0.26,,,,,,,Hard,1,0.316,25000
Soft-Max,Q-Learning Coop,0.116,0.112,0.18,0.12,,,,,,,Hard,1,0.116,25000
Soft-Max,SARSA,0.336,0.18,0.16,0.02,,,,,,,Hard,1,0.336,25000
Soft-Max,SARSA Coop,0.124,0.128,0.16,0.088,,,,,,,Hard,1,0.128,25000
Naive,Naive,,,,,,,,,,,Hard,1,0.18,25000
E-Greedy,Q-Learning,2.26,1.98,4.3,5.12,,,,,,,Hard,4,5.12,5000
E-Greedy,Q-Learning Coop,1.46,1.98,4.58,1.96,,,,,,,Hard,4,4.58,5000
E-Greedy,SARSA,1.92,1.58,1.44,3.32,,,,,,,Hard,4,1.92,5000
E-Greedy,SARSA Coop,2.1,2.28,2.52,2.3,,,,,,,Hard,4,2.52,5000
Soft-Max,Q-Learning,3.34,2.3,7.86,4.64,,,,,,,Hard,4,7.86,5000
Soft-Max,Q-Learning Coop,1.8,1.94,2.12,2.06,,,,,,,Hard,4,2.12,5000
Soft-Max,SARSA,3.22,2.3,3.12,1.12,,,,,,,Hard,4,3.22,5000
Soft-Max,SARSA Coop,1.76,2,2.08,1.88,,,,,,,Hard,4,2.08,5000
Naive,Naive,,,,,,,,,,,Hard,4,2.32,5000
E-Greedy,Q-Learning,3.44,3.04,5.28,4.7,2.96,,2.28,,,,Hard,8,5.28,5096
E-Greedy,Q-Learning Coop,2.36,2.96,4.96,3,2.64,,,,,,Hard,8,4.96,5096
E-Greedy,SARSA,3.18,3.06,4.9,2.52,5.24,,,,,,Hard,8,5.24,5096
E-Greedy,SARSA Coop,3.96,4.04,3.42,3.8,4.48,,,,,,Hard,8,4.04,5096
Soft-Max,Q-Learning,5.12,4.24,17.14,5.86,51.02,79.66,96.36,,,,Hard,8,96.36,5096
Soft-Max,Q-Learning Coop,4.02,3.78,3.8,4.46,3.58,4,3.88,,,,Hard,8,4.46,5096
Soft-Max,SARSA,4.68,4.46,4.36,2.08,3.44,3.1,,,,,Hard,8,4.68,5096
Soft-Max,SARSA Coop,3.7,4.18,3.92,3.96,3.98,3.98,,,,,Hard,8,4.18,5096
Naive,Naive,,,,,,,,,,,Hard,8,4.06,5096
E-Greedy,Q-Learning,9.65463108320251,8.65384615384615,16.1499215070644,18.3084772370487,16.306907378336,15.8555729984301,15.7770800627943,17.5824175824176,17.0133437990581,14.9725274725275,Easy,1,18.3084772370487,5096
E-Greedy,Q-Learning Coop,8.65384615384615,9.49764521193093,8.59497645211931,17.2291993720565,8.37912087912088,8.77158555729984,,17.7786499215071,17.3076923076923,16.7778649921507,Easy,1,17.7786499215071,5096
E-Greedy,SARSA,10.0470957613815,8.28100470957614,12.1467817896389,9.30141287284144,11.7739403453689,10.6357927786499,,5.88697017268446,4.74882260596546,3.19858712715856,Easy,1,12.1467817896389,5096
E-Greedy,SARSA Coop,9.14442700156986,9.00706436420722,8.61459968602826,9.43877551020408,8.51648351648352,9.49764521193093,,8.32025117739403,8.81083202511774,8.04552590266876,Easy,1,9.49764521193093,5096
Soft-Max,Q-Learning,11.3422291993721,8.16326530612245,16.4835164835165,11.8720565149137,19.9372056514914,27.3547880690738,48.3320251177394,12.6177394034537,15.0117739403454,32.9866562009419,Easy,1,48.3320251177394,5096
Soft-Max,Q-Learning Coop,7.75117739403454,7.53532182103611,7.26059654631083,7.90816326530612,8.1436420722135,7.6138147566719,,7.71193092621664,7.6530612244898,,Easy,1,8.1436420722135,5096
Soft-Max,SARSA,11.7935635792779,8.28100470957614,10.1648351648352,6.67189952904239,6.67189952904239,5.16091051805338,,2.98273155416013,0.902668759811617,,Easy,1,11.7935635792779,5096
Soft-Max,SARSA Coop,8.712715855573,7.6530612244898,7.75117739403454,8.33987441130298,8.1436420722135,8.43799058084772,,8.1043956043956,8.02590266875981,,Easy,1,8.712715855573,5096
Naive,Naive,,,,,,,,,,,Easy,1,8.06514913657771,5096
E-Greedy,Q-Learning,14.030612244898,13.5204081632653,20.6632653061224,17.9160125588697,21.1342229199372,22.9003139717425,30.6318681318681,15.8751962323391,15.6004709576138,14.7959183673469,Easy,4,30.6318681318681,5096
E-Greedy,Q-Learning Coop,12.4411302982732,12.6177394034537,11.9897959183673,22.9788069073783,12.9709576138148,12.4411302982732,12.3233908948195,21.2715855572998,21.2715855572998,19.8587127158556,Easy,4,22.9788069073783,5096
E-Greedy,SARSA,13.7951334379906,12.2056514913658,18.1514913657771,11.0282574568289,16.5031397174254,15.0706436420722,13.8540031397174,8.94819466248038,6.80926216640502,6.29905808477237,Easy,4,18.1514913657771,5096
E-Greedy,SARSA Coop,14.6193092621664,13.6970172684458,13.1671899529042,13.9913657770801,14.1091051805338,13.4419152276295,13.5989010989011,13.6773940345369,13.6773940345369,13.5989010989011,Easy,4,14.6193092621664,5096
Soft-Max,Q-Learning,17.0722135007849,12.9513343799058,15.2864992150706,13.61852433281,19.328885400314,32.2605965463108,94.309262166405,17.5235478806907,24.5682888540031,84.7331240188383,Easy,4,94.309262166405,5096
Soft-Max,Q-Learning Coop,12.3822605965463,12.4607535321821,12.0879120879121,12.0290423861852,12.0290423861852,12.2252747252747,11.8328100470958,11.7150706436421,12.3233908948195,11.5384615384615,Easy,4,12.4607535321821,5096
Soft-Max,SARSA,18.2692307692308,13.265306122449,14.7959183673469,8.43799058084772,9.85086342229199,7.16248037676609,4.41522762951334,5.04317111459969,2.1585557299843,0.667189952904239,Easy,4,18.2692307692308,5096
Soft-Max,SARSA Coop,12.3626373626374,12.6569858712716,12.1467817896389,11.6954474097331,11.6758241758242,11.1067503924647,11.9701726844584,12.1664050235479,11.8524332810047,11.8328100470958,Easy,4,12.6569858712716,5096
Naive,Naive,,,,,,,,,,,Easy,4,11.6954474097331,5096
